Mã Sách,Tên Sách,Mã Tác Giả,Mã Thể Loại,Mã NXB,Năm XB,Số Lượng,Đơn Giá,Vị Trí,Trạng Thái
S001,Lập Trình Java Cơ Bản,TG001,TL001,NXB001,2023,10,150000,K1-Ke1-A1,Còn
S002,Cơ Sở Dữ Liệu MySQL,TG002,TL001,NXB002,2022,5,200000,K1-Ke1-A2,Còn
S003,Thuật Toán Lập Trình,TG003,TL001,NXB001,2024,8,180000,K1-Ke2-A1,Còn
S004,Lập Trình Python Nâng Cao,TG004,TL001,NXB003,2023,12,175000,K1-Ke2-A2,Còn
S005,Trí Tuệ Nhân Tạo,TG005,TL002,NXB001,2024,6,250000,K2-Ke1-A1,Còn
S006,Machine Learning Cơ Bản,TG005,TL002,NXB002,2023,7,220000,K2-Ke1-A2,Còn
S007,Lập Trình Web với React,TG006,TL001,NXB003,2024,9,190000,K2-Ke2-A1,Còn
S008,Node.js Backend Development,TG007,TL001,NXB002,2023,11,210000,K2-Ke2-A2,Còn
S009,Data Science với R,TG008,TL002,NXB001,2024,5,240000,K3-Ke1-A1,Còn
S010,Blockchain và Cryptocurrency,TG009,TL002,NXB003,2023,8,280000,K3-Ke1-A2,Còn
